,0
GSM1657978,cell type: neurons
GSM1657979,cell type: astrocytes
GSM1657980,cell type: neurons
GSM1657981,cell type: astrocytes
GSM1657982,cell type: neurons
GSM1657983,cell type: neurons
GSM1657984,cell type: neurons
GSM1657985,cell type: neurons
GSM1657986,cell type: neurons
GSM1657987,cell type: neurons
GSM1657988,cell type: neurons
GSM1657989,cell type: neurons
GSM1657990,cell type: neurons
GSM1657991,cell type: neurons
GSM1658006,cell type: astrocytes
GSM1658007,cell type: astrocytes
GSM1658009,cell type: neurons
GSM1658010,cell type: astrocytes
GSM1658012,cell type: neurons
GSM1658014,cell type: neurons
GSM1658016,cell type: astrocytes
GSM1658017,cell type: astrocytes
GSM1658018,cell type: oligodendrocytes
GSM1658020,cell type: astrocytes
GSM1658021,cell type: astrocytes
GSM1658025,cell type: neurons
GSM1658026,cell type: astrocytes
GSM1658027,cell type: astrocytes
GSM1658029,cell type: astrocytes
GSM1658031,cell type: astrocytes
GSM1658032,cell type: neurons
GSM1658033,cell type: neurons
GSM1658034,cell type: neurons
GSM1658035,cell type: neurons
GSM1658037,cell type: neurons
GSM1658038,cell type: neurons
GSM1658039,cell type: neurons
GSM1658040,cell type: neurons
GSM1658041,cell type: neurons
GSM1658042,cell type: neurons
GSM1658043,cell type: astrocytes
GSM1658045,cell type: astrocytes
GSM1658046,cell type: neurons
GSM1658048,cell type: astrocytes
GSM1658049,cell type: astrocytes
GSM1658050,cell type: astrocytes
GSM1658051,cell type: astrocytes
GSM1658052,cell type: neurons
GSM1658053,cell type: astrocytes
GSM1658054,cell type: astrocytes
GSM1658055,cell type: astrocytes
GSM1658056,cell type: astrocytes
GSM1658058,cell type: neurons
GSM1658059,cell type: astrocytes
GSM1658060,cell type: astrocytes
GSM1658061,cell type: astrocytes
GSM1658062,cell type: astrocytes
GSM1658063,cell type: neurons
GSM1658064,cell type: astrocytes
GSM1658065,cell type: astrocytes
GSM1658066,cell type: astrocytes
GSM1658067,cell type: astrocytes
GSM1658068,cell type: astrocytes
GSM1658069,cell type: astrocytes
GSM1658071,cell type: astrocytes
GSM1658072,cell type: astrocytes
GSM1658073,cell type: astrocytes
GSM1658078,cell type: astrocytes
GSM1658079,cell type: astrocytes
GSM1658080,cell type: neurons
GSM1658081,cell type: astrocytes
GSM1658082,cell type: astrocytes
GSM1658083,cell type: endothelial
GSM1658084,cell type: neurons
GSM1658085,cell type: endothelial
GSM1658086,cell type: endothelial
GSM1658087,cell type: neurons
GSM1658088,cell type: oligodendrocytes
GSM1658089,cell type: endothelial
GSM1658090,cell type: neurons
GSM1658091,cell type: neurons
GSM1658092,cell type: endothelial
GSM1658093,cell type: oligodendrocytes
GSM1658094,cell type: endothelial
GSM1658095,cell type: neurons
GSM1658096,cell type: endothelial
GSM1658097,cell type: oligodendrocytes
GSM1658098,cell type: endothelial
GSM1658099,cell type: endothelial
GSM1658100,cell type: endothelial
GSM1658101,cell type: neurons
GSM1658102,cell type: endothelial
GSM1658103,cell type: neurons
GSM1658104,cell type: neurons
GSM1658105,cell type: neurons
GSM1658106,cell type: neurons
GSM1658107,cell type: neurons
GSM1658108,cell type: neurons
GSM1658109,cell type: endothelial
GSM1658110,cell type: neurons
GSM1658111,cell type: neurons
GSM1658112,cell type: endothelial
GSM1658113,cell type: neurons
GSM1658114,cell type: neurons
GSM1658115,cell type: neurons
GSM1658116,cell type: microglia
GSM1658117,cell type: endothelial
GSM1658118,cell type: oligodendrocytes
GSM1658119,cell type: oligodendrocytes
GSM1658120,cell type: oligodendrocytes
GSM1658121,cell type: neurons
GSM1658122,cell type: endothelial
GSM1658123,cell type: oligodendrocytes
GSM1658124,cell type: oligodendrocytes
GSM1658125,cell type: oligodendrocytes
GSM1658126,cell type: endothelial
GSM1658127,cell type: neurons
GSM1658128,cell type: neurons
GSM1658129,cell type: neurons
GSM1658130,cell type: oligodendrocytes
GSM1658131,cell type: neurons
GSM1658133,cell type: oligodendrocytes
GSM1658134,cell type: neurons
GSM1658135,cell type: neurons
GSM1658136,cell type: neurons
GSM1658137,cell type: neurons
GSM1658138,cell type: neurons
GSM1658139,cell type: neurons
GSM1658140,cell type: oligodendrocytes
GSM1658141,cell type: neurons
GSM1658142,cell type: astrocytes
GSM1658143,cell type: neurons
GSM1658145,cell type: neurons
GSM1658146,cell type: neurons
GSM1658147,cell type: neurons
GSM1658148,cell type: neurons
GSM1658149,cell type: neurons
GSM1658150,cell type: neurons
GSM1658151,cell type: neurons
GSM1658152,cell type: neurons
GSM1658153,cell type: neurons
GSM1658155,cell type: oligodendrocytes
GSM1658156,cell type: neurons
GSM1658157,cell type: oligodendrocytes
GSM1658158,cell type: neurons
GSM1658159,cell type: oligodendrocytes
GSM1658160,cell type: neurons
GSM1658162,cell type: oligodendrocytes
GSM1658163,cell type: neurons
GSM1658164,cell type: oligodendrocytes
GSM1658166,cell type: neurons
GSM1658167,cell type: oligodendrocytes
GSM1658168,cell type: astrocytes
GSM1658169,cell type: neurons
GSM1658170,cell type: neurons
GSM1658171,cell type: neurons
GSM1658172,cell type: neurons
GSM1658173,cell type: oligodendrocytes
GSM1658174,cell type: astrocytes
GSM1658175,cell type: neurons
GSM1658176,cell type: neurons
GSM1658177,cell type: neurons
GSM1658179,cell type: oligodendrocytes
GSM1658180,cell type: oligodendrocytes
GSM1658181,cell type: neurons
GSM1658182,cell type: neurons
GSM1658338,cell type: fetal_quiescent
GSM1658339,cell type: fetal_quiescent
GSM1658340,cell type: fetal_quiescent
GSM1658341,cell type: fetal_quiescent
GSM1658342,cell type: fetal_quiescent
GSM1658343,cell type: fetal_quiescent
GSM1658344,cell type: fetal_quiescent
GSM1658345,cell type: fetal_quiescent
GSM1658346,cell type: fetal_quiescent
GSM1658347,cell type: fetal_replicating
GSM1658348,cell type: fetal_quiescent
GSM1658349,cell type: fetal_quiescent
GSM1658350,cell type: fetal_quiescent
GSM1658351,cell type: fetal_quiescent
GSM1658352,cell type: fetal_quiescent
GSM1658353,cell type: fetal_quiescent
GSM1658354,cell type: fetal_quiescent
GSM1658355,cell type: fetal_replicating
GSM1658356,cell type: fetal_quiescent
GSM1658357,cell type: fetal_quiescent
GSM1658358,cell type: fetal_quiescent
GSM1658359,cell type: fetal_quiescent
GSM1658360,cell type: fetal_quiescent
GSM1658361,cell type: fetal_quiescent
GSM1658362,cell type: fetal_quiescent
GSM1658363,cell type: fetal_quiescent
GSM1658364,cell type: fetal_quiescent
GSM1658365,cell type: fetal_quiescent
GSM1658366,cell type: fetal_quiescent
GSM1657992,cell type: astrocytes
GSM1657993,cell type: endothelial
GSM1657994,cell type: microglia
GSM1657995,cell type: endothelial
GSM1657996,cell type: microglia
GSM1657997,cell type: microglia
GSM1657998,cell type: astrocytes
GSM1657999,cell type: microglia
GSM1658000,cell type: astrocytes
GSM1658001,cell type: neurons
GSM1658002,cell type: neurons
GSM1658003,cell type: fetal_quiescent
GSM1658004,cell type: endothelial
GSM1658005,cell type: neurons
GSM1658184,cell type: astrocytes
GSM1658185,cell type: astrocytes
GSM1658186,cell type: astrocytes
GSM1658187,cell type: astrocytes
GSM1658188,cell type: microglia
GSM1658189,cell type: microglia
GSM1658190,cell type: astrocytes
GSM1658191,cell type: astrocytes
GSM1658192,cell type: neurons
GSM1658193,cell type: astrocytes
GSM1658194,cell type: neurons
GSM1658195,cell type: neurons
GSM1658196,cell type: microglia
GSM1658197,cell type: neurons
GSM1658198,cell type: neurons
GSM1658199,cell type: astrocytes
GSM1658200,cell type: neurons
GSM1658201,cell type: astrocytes
GSM1658202,cell type: astrocytes
GSM1658203,cell type: fetal_replicating
GSM1658204,cell type: fetal_replicating
GSM1658205,cell type: fetal_replicating
GSM1658206,cell type: fetal_replicating
GSM1658207,cell type: fetal_replicating
GSM1658208,cell type: fetal_replicating
GSM1658209,cell type: fetal_replicating
GSM1658210,cell type: fetal_replicating
GSM1658211,cell type: fetal_replicating
GSM1658212,cell type: fetal_replicating
GSM1658213,cell type: fetal_replicating
GSM1658214,cell type: fetal_replicating
GSM1658215,cell type: fetal_replicating
GSM1658216,cell type: fetal_replicating
GSM1658217,cell type: fetal_replicating
GSM1658218,cell type: fetal_replicating
GSM1658219,cell type: fetal_replicating
GSM1658220,cell type: fetal_replicating
GSM1658221,cell type: fetal_quiescent
GSM1658222,cell type: fetal_replicating
GSM1658223,cell type: fetal_quiescent
GSM1658224,cell type: fetal_replicating
GSM1658225,cell type: fetal_quiescent
GSM1658226,cell type: fetal_quiescent
GSM1658227,cell type: fetal_quiescent
GSM1658228,cell type: fetal_replicating
GSM1658229,cell type: fetal_quiescent
GSM1658230,cell type: fetal_quiescent
GSM1658231,cell type: fetal_quiescent
GSM1658232,cell type: fetal_quiescent
GSM1658233,cell type: fetal_quiescent
GSM1658234,cell type: fetal_quiescent
GSM1658235,cell type: fetal_quiescent
GSM1658236,cell type: fetal_quiescent
GSM1658237,cell type: fetal_quiescent
GSM1658238,cell type: fetal_quiescent
GSM1658239,cell type: fetal_quiescent
GSM1658240,cell type: fetal_quiescent
GSM1658241,cell type: fetal_quiescent
GSM1658242,cell type: fetal_replicating
GSM1658243,cell type: fetal_quiescent
GSM1658244,cell type: fetal_quiescent
GSM1658245,cell type: fetal_quiescent
GSM1658246,cell type: fetal_quiescent
GSM1658247,cell type: fetal_quiescent
GSM1658248,cell type: fetal_quiescent
GSM1658249,cell type: fetal_quiescent
GSM1658251,cell type: fetal_quiescent
GSM1658253,cell type: fetal_quiescent
GSM1658255,cell type: fetal_quiescent
GSM1658257,cell type: fetal_quiescent
GSM1658259,cell type: fetal_quiescent
GSM1658262,cell type: fetal_quiescent
GSM1658264,cell type: fetal_quiescent
GSM1658266,cell type: fetal_quiescent
GSM1658268,cell type: fetal_quiescent
GSM1658270,cell type: fetal_quiescent
GSM1658272,cell type: fetal_quiescent
GSM1658275,cell type: fetal_quiescent
GSM1658277,cell type: fetal_quiescent
GSM1658279,cell type: fetal_quiescent
GSM1658281,cell type: fetal_quiescent
GSM1658284,cell type: fetal_quiescent
GSM1658286,cell type: fetal_quiescent
GSM1658288,cell type: fetal_quiescent
GSM1658290,cell type: fetal_quiescent
GSM1658292,cell type: fetal_quiescent
GSM1658294,cell type: fetal_quiescent
GSM1658297,cell type: fetal_quiescent
GSM1658299,cell type: fetal_quiescent
GSM1658301,cell type: fetal_quiescent
GSM1658304,cell type: fetal_replicating
GSM1658305,cell type: fetal_quiescent
GSM1658306,cell type: fetal_quiescent
GSM1658307,cell type: fetal_quiescent
GSM1658308,cell type: fetal_quiescent
GSM1658309,cell type: fetal_quiescent
GSM1658310,cell type: fetal_quiescent
GSM1658311,cell type: fetal_quiescent
GSM1658312,cell type: fetal_quiescent
GSM1658313,cell type: fetal_quiescent
GSM1658314,cell type: fetal_quiescent
GSM1658315,cell type: fetal_quiescent
GSM1658316,cell type: fetal_quiescent
GSM1658317,cell type: fetal_quiescent
GSM1658318,cell type: fetal_quiescent
GSM1658319,cell type: fetal_quiescent
GSM1658320,cell type: fetal_quiescent
GSM1658321,cell type: fetal_quiescent
GSM1658322,cell type: fetal_quiescent
GSM1658323,cell type: fetal_quiescent
GSM1658324,cell type: fetal_quiescent
GSM1658325,cell type: fetal_quiescent
GSM1658326,cell type: fetal_quiescent
GSM1658327,cell type: fetal_quiescent
GSM1658328,cell type: fetal_quiescent
GSM1658329,cell type: fetal_quiescent
GSM1658330,cell type: fetal_quiescent
GSM1658331,cell type: fetal_quiescent
GSM1658332,cell type: fetal_quiescent
GSM1658333,cell type: fetal_quiescent
GSM1658334,cell type: fetal_quiescent
GSM1658335,cell type: fetal_quiescent
GSM1658336,cell type: fetal_quiescent
GSM1658337,cell type: fetal_quiescent
